room 	 would highly recommend hotel - fantastic spot Manhattan ( walk distance 5th Ave subway etc ) be neat , tidy decent price . our room 2 single bed inside , must admit much small expect , not bother we one bit - be New York , be go spend extend amount time room , be crazy ! tiny room suit we sleep . clean comfortable within budget ( $ 1000 5 night - book expedia ) .I highly recommend hotel would definitely stay . 
 Dec 29 2007 	 dirty dirty hotel 	 friend son daughter go new york daughter 21st , room hotel disgust particularly ask low floor daughter fear elevator , check top floor , first disaster , fight get room change pass bucket corridor catch water come roof , show 2 dirty room smell damp dirt dead crawlie thing carpet , complain manager not give toss , later find sleepless night place house homeless woman still , approach drunken woman one night corridor , disgrace get back home take story national paper turn send reporter investigate , run story photo get back confirm complaint eventually get £ 400 back we much 5 night hell doss house . warn stay CLEAR .... 
 Dec 24 2007 	 12 Dec - 17 Dec 07 	 reading review prior holiday concerned number negative one . arrival staff courteous helpful , room small expect - New York City . room clean , comfortable nice pillow . I fantastic stay , complaint ever . 
 Dec 18 2007 	 improve ! surprise surprise . 	 stay Thirty Thirty one time previously horrible . tight room , dirty pricey . due 1 block corporate office decide give another try glad . room time Queen , include comfortable queen bed , nice desk 35 inch television . room clean , possibly recently renovate unsure . bathroom marble / slate , clean powerful shower , much different double twin room stay one year previously . it bite pricey , $ 300 + location great clean comfortbable . 
 Dec 11 2007 	 Hotel Dirty Dirty ! ! ! ! ! ! 	 stay Hotel dirty dirty business trip , first room smell smelly old man . give benefit doubt open window entire day , return room even bad ! go front desk ask room switch . accomodate find new room trouble start . begin bathroom dirty ! floor sticky dirty would not step floor carpet without shoe , even shower sneaker bad . person room next listened tv loudest possible setting call front desk tell would send someone . hour later unable take long call front desk ! woman come security enter room GUEST ASSIGNED shut tv , door woman tell security guard complain nasty [ -- ] . open door defend honor always courtious polite even complaint realise not worth effort . hotel run low life , uneducated people not give damn . return work next day 39 employee switch new hotel .... AWARE WEBSITE look nothing like ROOMS , FELT like HALF WAY HOUSE CRACK ADDICTS ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Dec 8 2007 	 try elsewhere 	 ' ve return stay 3030 . reception area functional bar minimal seating area . think one moment reception staff assist shape form . won't . we book superior room ( room 1044 ) room large . however , downside large room bathroom contain shower loo . sink relocate bedroom , would well decrease bedroom size increase bathroom . for two day towel never arrive hotel room . take three attempt reception get towel hanger deliver room . newspaper ever make bedroom door . a small closet not take much luggage ! potential homeless resident . believe people live . tenth floor three room fulltime occupant . room next house two woman , smell cat pot fill hallway whenever return back room . room opposite lift occupant constantly leave dirty laundry outside cart , include revolt underwear blood stain bath mat . leave outside hallway entire stay . also spot ghost like appearance woman shuffle around 10th floor . not add ambience hotel state clearly fulltime homeless occupant live hotel . chambermaid service minimal , though room clean check - in shower sink never clean stay . water glass never take away fresh one replace . coffee machine never empty leave stand day not use . end take rubbish street use public bin get rid rubbish never clear away . bed make . upside , room quiet location good sight seeing . however $ 2,200 would not bother go back would recommend carry search hotel . HOTEL RECOMMENDED . 
 Dec 5 2007 	 Ew 	 racket -- place overprice -- ? clean efficient fine -- rate charge passable . ridiculous . check 4:30 towel bathroom . bathroom fine clean actually quite spacious . although bedroom tiny , tiny , tiny . tiny , tv instal high corner , high watch anything . location not even ideal . really not understand hotel . staid b / c 's put business would never choose rip . 
 Nov 29 2007 	 not stay 	 Karen Atlanta : over - price hotel -- $ 900 two night -- ' ve ever stay . awful . one surface bathroom put one item . pedestal sink slope side , even toilet top sloping could not use put toiletry . put everything floor . room freeze . finally bring temperature 63 degree use space heater . old copy New York Post litter floor outside door previous occupant bottled water sit window sill put hall . 
 Nov 28 2007 	 Great Location 	 stay 3 night shopping trip 2 friend . hotel absolutely fab location . find staff friendly courteous . room stay contain 2 queen size bed also couch aswell 2 tele . big room plenty room suitcase shop . hotel overall clean would recommend anyone . couple minute walk Empire State building location hotel one big selling point . return New York stay . one thing find room wall little thin , light sleeper beware wear ear muff . do not bother though . 
 Nov 26 2007 	 would reccommend good location 	 actually stay good would pay price charge hotel . executive room 2 queen bed 2nd floor . first room give look bit grotty view brick wall next door ! give choice 2 room move straight away least view street . executive room large nothing special . not enough closet / wardrobe space even 1 person , bath , shower spectacular view . good side , hotel good midtown location staff lovely . bed towel change daily engineer hand internet cable access toilet flood clean straight away . unfortunately travel agent would reccommend hotel , dread think standard room like . 
 Nov 25 2007 	 terrible would never stay ! ! 	 second time nyc . firstly check hotel give single bed 2 people holiday ask want single double bed even ask put completely different floor . the room arrive small bathroom big ! ! window sime let cold air keep . veiw poor run build nosie lift go night . go see staff reception change traveller cheque say could change $ 100 whole hotel day wich 253 room do not think ! ! go back later staff change shift mange change futher $ 100 staff rude do not want anything help . end stay checking bag get apporch man want book taxi we back jfk bit weary want take $ 10 depoist $ 60 fair , come back get taxi bloke pushy say taxi wait we 15mins early could sort suitcase leave jfk get outside refuse get taxi proper taxi ask depoist back want yellow cab say want yellow cab get get one urself rude put ice cake bad experiance hotel never would stay . location hotel pretty good 2 bloke macys 1 empire state building need get taxi times square 25 min walk . next time would retirn hotel stay first time viste nyc ! ! 
