security 	 glow review , sadly , would actively steer people away hotel . everything go along nicely 3 night stay -- think price right , location good room amenity nice . unfortunately , money vanish room safe would feel safe stay hotel .... recommend hotel friend colleague . fact : stay hotel 3 night mid November . stay , use hotel safe valuable extra cash would not carry street . night check , take valuable cash safe , leave $ 250 safe lock security code . check next day though experience traveler always check room thoroughly check , forget empty safe . leave hotel 10 a.m. realize mistake 4 pm immediately call hotel . supposedly , security person duty go room use hand hold device ride personal security code . wait hold check room . get back phone , say , & quot ; ' m sorry , safe empty & quot ; .Of course , word mine , see money safe know lock left room . one open safe meantime , would explain vanish act ? next talk head security hotel several time . first conversation , say personally go security person safe open . next conversation , press whether SAW safe open empty , retract early statement say , & quot ; , not go room , stay elevator . & quot ; therefore , person open safe witness . find revelation bit disturbing . change story ? next , ask speak hotel manager . wait 5 hour receive call back . apologize behalf hotel , could not explain discrepancy security staff 's story promise & quot ; get bottom situation get back & quot ; . say look forward full report wish could get money back , concerned hotel institute well security system follow . nearly two week since incident not hear anything manager ...... credit , offered offer complimentary stay future visit , issue fully investigate resolve , would not feel safe staying hotel . so .... stay Empire Hotel , remember well carry valuable . money lose , could upgrade well ( safe ) hotel . one point , stay , lobby close entire day tv show , Gossip Girl film . ' m sure hotel compensate use space , add nothing inconvenience stay go alternate entrance , etc . make feel like hotel try use space make much money possible without concern might affect guest . mention issue front desk staff , say lobby use film crew nearly every week , one situation , on - go inconvenience future guest . 
 Closet -- -- joke ! 	 absolute bad hotel ever stay ! small understatement . closet size space . broken window . iron . bathroom disgusting . huge disappointment . picture website suite .... not fool . 
 Jun 28 2008 	 stylish hotel nice staff 	 book hotel location Upper West side Manhattan could nearby meeting attend . selection side town , hotel turn fantastic , two nearby subway stop get everywhere . hugely stylish ( recently renovate ) lobby room , though bathroom little stylish , stupid form - over - function sink . comfy bed , nice staff , fantastic toiletry , great bar lounge . yes , room small side , NYC people ! room small use . one problem say stupid sink , fix time return dinner . complaint lack coffee room , yes starbuck downstairs , coffee get ready must , scary old elevator . 
 Jun 26 2008 	 great location great bedding 3 star rating . 	 since favorite suite hotel , Rhiga Royale ( sp ) London command hefty price , decide book stay thru Hotwire . upon find 4 star hotel draw Central Park South Empire , concerned negative comment Trip Adviser . we call hotel upgrade King , admittedly state queen room actually small two people ( be bizarre ... call single ! ) agree price $ 30 extra night phone , check tell we would $ 50 extra night . even name staff guarantee rate check manager , say staff member tell mistaken . ( whatever happen customer always right ! ) apparently book superior king give we deluxe king , blah , blah , blah . idea book , 2 term sound ! gave every opportunity get well rating Trip Adviser ( without tell ) really hate jerk around . back room find adequate ... , comfortable bed linen , decent size . not expect huge room NYC . find porter extremely courteous helpful . check suite look one quite nice . beautiful lobby . location can not beat , although ton construction noise Lincoln Center . unfortunately air conditioning right edge inadequate , fortunately not brutally hot week . open window night extra coolness , mean heavy equipment wake 6 ! rooftop bar mob young , cool crowd , could not get away noise soon enough , rooftop Lounge area Pool ? ( call pool ? ? ? ? , ) odd . mini bar price beyond ridiculous . would stay ? probably . 4 star Hotwire rate , unless upgrade , beware , book not pay $ 325 / night deluxe superior king ! ( not honestly know . ) think 's worth . 
 Jun 26 2008 	 Awesome Stay Empire 	 stay Empire New Years much enjoy room , service , location . room ( Jr Suite ) sizable , excellent value location & amp ; size NYC . large flat screen tv sit area well comfortable king size bed make great stay . highly recommend Empire Hotel . 
 Jun 26 2008 	 great modern hotel 	 little concerned booking room empire read Trip Advisor review , tell , room great ! get good deal special Travelzoo book Superior King instead standard room . superior room quite big , especially NY standard . bed comfortable , room bathroom really clean , furnishing cool modern , staff nice shower great . shower not half door report TA maybe fix around . next door Duane Reade , starbuck two bank helpful . the downside , really petty , - bathroom small much storage toiletry , full length mirror , alarm clock next bed across room , room item refrigerator , armoire really long enough dress . 
 Jun 25 2008 	 attractive hotel mediocre service 	 Attractive hotel , include lobby room . service quite uneven , however . certain staff helpful & amp ; welcome , other quite indifferent borderline rude . Hotel recently renovate , high staff turnover show . received conflicting & amp ; erroneous info fro staff regard availability restaurant various time day , result eat elsewhere . good location ( near Lincoln Center , walk distance Broadway show ) hotel worth consider , not expect smooth consistent service . 
 Jun 23 2008 	 roomy room NYC 	 go business 5 day , nice location ( Lincoln Center block away park ) , room ok / recently refurbish ) bathroom small ( shower right ) , hotel obviously problem electronic key system ( key keep demagnetise ) , Breakfast ; expresso machine clearly miss ( average expresso Starbuck compensatesservice nice helpful , italian restaurant Fiorello next hotel good solution nice quick sophisticated bite ! 
 Jun 20 2008 	 inexcusably awful ! ! ! 	 season traveler make fifteen business trip past twelve month domestically , three business trip internationally , owner second home main residence Santa Barbara , ' m confident share anyone read review , know ' m say come travel . Empire Hotel one miserable hotel experience ever . location ideal - across Lincoln Center block Warner Center block park - could not well . decor fresh ' current ' . ... forget - air conditioning not work first two room put . unit not update since 1970 's easily . second room wreak cigarette smoke suppose non smoking room floor . room service miserable every order except one call back english speak operator confirm order take properly . digital movie service always grainey begin movie would frequently skip throughout movie . rooftop pool , load incredible potential , service half time . wireless service hotel , service email web service spotty good three room move around . hotel operator useless front desk manager unbearable , negligent unintelligent important issue like billing , accommodation , city service , etc . easily bad , disgusting component , occur unfortunately get sick gastro inestinal virus render useless 24 hour spell . difficult write , uncontrollable nature g.i . situation lead uncontrollable mishap bed . personally tear sheet bed insure properly take care , repulse see upon return room day business city , mattress cover switch - burn - diarrheal stain unfortunate moment right plain view ... detail not enough , simple fact sum entire experience up . insure , anyone know PLANNING STAYING UNBELIEVABLE property , DISSUADE . SAVVY WEBSITE NEWLY decorate LOBBY ENOUGH SAVE otherwise terrible hotel.sincerely , Scott CorridanPresident , Creative DirectorWhite Chocolate label Scott Corridan , Inc . 
 Jun 20 2008 	 Great Location Good Hotel 	 Nice hotel , recently refurbish , room decent size nicely decorate , clean comfortable . 5 min walk Central Park away real hustle bustle NYC . pj clarke downstairs good place socialise hotel doorstaff would always get cab straight away .. would recomend hotel anyone stay NYC , downside do not realise breakfast include ( idea serve , never see dining room , always end breakfast diner block away ) bar staff rude ( think ubercool , pretentious ! ) 
 Jun 11 2008 	 stay 	 arrive 60 people part travel show 4:30 morning . inform key machine work every person escort room 1 security guard duty . begin bad experience ever hotel NY . one person group find soiled underwear get room , another half room flood , another not even toilet room . girl party guest enter room think key room . complimentary internet come every 5 min . final straw 1:00 cigarette outside 2 day key would work anymore , 4 people wait line time . every time stand line front desk 30 - 40 min wait . staff horrible bad city . stay ! ! ! 
 Jun 10 2008 	 GREAT PLACE 	 get back great stay Empire Hotel- 's chic- hip location- lincoln center 1 block central park- room typical size NY- great restaurant foot Hotel- even starbuck downstairs- roof pool - great retreat long day sightseeing- place pack nice element people- young jetsetter mature elegant ballet go crowd- visit NYC 17 years- stay many NY 's fine hotels- one fun good location ever . 
 Jun 5 2008 	 location great ... 	 husband stay 5 night Empire Hotel thankfully spend much time room . room clean small . room suppose two double bed , like 3/4 bed sleep separate bed . pile high 4 full sized two small pillow terry cloth robe create problem want sleep one chair room pile everything except 2 pillow sleep ! water bathroom sink drain slowly remove plug . plenty hot water shower , took forever actually become hot waste water . shower floor wooden mat get bit slippery . complimentary toiletry L'Occitane nice , could supply something little less high end supply well toilet paper . disintegrate soon get wet . go drug store around corner buy well roll ! 
 Jun 3 2008 	 two star quality 4 - star price 	 visit NYC frequently , typically stay Comfort Inn 129 West 46th St. attract Empire weekend June since Comfort inn sell , Empire among cheapest & quot ; good & quot ; place available . first , Empire dive . rate solid two star , although ' advertise 4 - star . when arrive 1 pm , wait 15 minute queue front desk , one attendant duty . " other break . " say . build ' key system , could get access room anyway , idea would fix . three hour later call ask fix , put hold 10 minute . hang call back , attendant take message manager ' busy ' . one hour later arrive hotel meet manager arrive ( going keep hold 4 hour ? ) . immediately declare know nothing problem , hope everything would satisfactory . the room clean . shower door , apparently case room . result , water pour floor . hair dryer blow circuit breaker ( gfci ) . hot water first morning . continental breakfast , free Comfort Inn , $ 17.50 per person Empire . two 4 elevator break , luckily 2nd floor . wifi go one evening ' restore till next morning . coffeemaker room . air - conditioner sound like run diesel . overprice mini - bar ( $ 6 candy bar ) take little counterspace . thing consider , Comfort Inn , like mid - price hotel ' stay , offer amenity , service , quality . Empire offer none . 
